GenreId,Genre
0,Entertainment
1,Tools
2,Social
3,Lifestyle
4,Video Players & Editors
5,Comics
6,Education
7,Books & Reference
8,Communication
9,Maps & Navigation
10,House & Home
11,Shopping
12,Simulation
13,Adventure
14,Art & Design
15,Strategy
16,News & Magazines
17,Auto & Vehicles
18,Action
19,Finance
20,Food & Drink
21,Arcade
22,Weather
23,Personalization
24,Educational
25,Events
26,Medical
27,Travel & Local
28,Sports
29,Casual
30,Puzzle
31,Dating
32,Business
33,Productivity
34,Photography
35,Beauty
36,Health & Fitness
37,Libraries & Demo
38,Casino
39,Parenting
40,Trivia
41,Racing
42,Card
43,Board
44,Word
45,Role Playing
46,Music & Audio
47,Music
48,Music & Video
49,Action & Adventure
50,Creativity
51,Pretend Play
52,Brain Games
